"","x"
"106","Ya conoces mi nuevo gimnasio CR7 Crunch Fitness? Ven a ciudad Lineal, hasta el final del mes y  aprovecha la matrícula gratis <ed><U+00A0><U+00BD><ed><U+00B8><U+0089>"
"107","All of my favourite styles <U+FFFC><U+FFFC><U+FFFC>are in the SS17 CR7 Underwear campaign! Check it out at www.CR7Underwear.com"
"108","Training <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"109","VAMOS EQUIPO. HALA MADRID <ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B1><U+008D>"
"110","To be a champion, you need the best. XTrade will give you the right tools to start with. http://bit.ly/2lWl8I2"
"111","<ed><U+00A0><U+00BD><ed><U+00BA><U+00B4><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>"
"112","nubia Smartphone is ready  #ToMeetNewPossibilities. How about you? Go to Nubia Stand at the Mobile World Congress Barcelona and get the latest news #MWC17"
"113","Well done team<ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"114","Hala Madrid <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"115","<ed><U+00A0><U+00BC><ed><U+00BF><U+00A1><ed><U+00A0><U+00BD><ed><U+00B8><U+008E><U+2600><U+FE0F>"
"116","Cr7Underwear shoot in 360! New designs and styles are on www.CR7Underwear.com <ed><U+00A0><U+00BD><ed><U+00B8><U+0084>"
"117","<ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"118","A verdade é esta, eu gosto de me rodear do que há de melhor no mundo, como a TV do @MEO. Descubra aqui porquê www.meo.pt"
"119","<ed><U+00A0><U+00BD><ed><U+00B1><U+008D>"
"120","Have you seen the new update of CR7Selfie? Now you can have a selfie with me and the Ballon D’or!
Try it now <U+270C><ed><U+00A0><U+00BD><ed><U+00B3><U+00B7>  #CR7Selfie #FanWithACause"
"121","Having some fun on the set of my latest CR7 Underwear campaign! Check it out! www.CR7Underwear.com"
"122","It's all about the detail! My new CR7 Underwear collection and campaign launches TODAY! www.CR7Underwear.com"
"123","Looking for your new ambassador, TAG Heuer Jean-Claude Biver ?
Seems like I've found someone who perfectly fits the #DontCrackUnderPressure spirit, my great friend and amazing singer J Balvin"
"124","Spread the love by offering a Cristiano Ronaldo fragrance this Valentine’s day! 
You can be in a chance to win your own SIGNED Cristiano Ronaldo Fragrances

Check out my website www.cristianoronaldofragrances.com"
"125","Good morning!"
"126","<ed><U+00A0><U+00BE><ed><U+00B4><U+0094> thinking TAG Heuer"
"127","<ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"128","<ed><U+00A0><U+00BC><ed><U+00BE><U+0082><ed><U+00A0><U+00BE><ed><U+00B5><U+0082><U+2764><U+FE0F>"
"129","You got La Silver? I got La Gold. Want to argue? <ed><U+00A0><U+00BD><ed><U+00B8><U+008E> #am97 #gold"
"130","Be serious <ed><U+00A0><U+00BD><ed><U+00B8><U+0089><ed><U+00A0><U+00BD><ed><U+00B8><U+0089><ed><U+00A0><U+00BD><ed><U+00B8><U+0089>"
"131","Do you believe an outfit can inspire and complete a remarkable moment? 
I do! And that's why I partnered with Sacoor Brothers to this amazing #CristianoRonaldo Collection. 
Discover Sacoor Brothers Online at www.sacoorbrothers.com and be inspired! #SACOORBROTHERS"
